"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Global Scenarios - Headers","","0","0","9","0","0"
"","Product Landing Page Scenarios","","0","1","6","0","0"
"","E2E - Checkout Scenarios -BOIPS","","0","0","4","4","0"
"","E2E - Signup & My Account Scenarios","","0","0","1","6","0"
"","E2E - EventHub portal Scenarios","","0","0","0","9","0"
"","Store Locator Scenarios","","0","0","7","0","0"
"","E2E - Checkout Scenarios -STM","","0","1","4","6","0"
"","E2E - Marketplace Scenarios","","0","0","5","0","0"
"","E2E - Classes, Events & Project Scenarios","","0","1","2","3","0"
"","E2E - Checkout Scenarios -SDD","","1","0","1","3","0"
"","Cart page Scenarios","","0","0","5","4","0"
"","Home Page Scenarios","","0","0","1","0","0"
"","MAP - Admin Portal scenarios","","0","0","0","1","0"
"","Mega menu Scenarios","","0","0","3","0","0"
"","MakerPlace - Mega menu Scenarios","","0","0","1","0","0"
"","Product Description Page Scenarios","","0","1","1","0","0"
"","E2E - Marketplace seller Scenarios","","0","0","0","1","0"
