"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","E2E - Checkout Scenarios","","0","1","22","0","0"
"","Product Landing Page Scenarios","","0","0","4","0","0"
"","E2E - Marketplace Scenarios","","1","0","4","0","0"
"","E2E - EventHub portal Scenarios","","0","0","9","0","0"
"","E2E - Classes, Events & Project Scenarios","","0","2","4","0","0"
"","E2E - Signup & My Account Scenarios","","0","1","6","0","0"
"","MakerPlace - Mega menu Scenarios","","0","0","1","0","0"
"","Cart page Scenarios","","0","0","2","0","0"
"","E2E - Marketplace seller Scenarios","","0","0","1","0","0"
"","Mega menu Scenarios","","0","0","1","0","0"
"","Home Page Scenarios","","0","0","1","0","0"
