"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Sign In and Sign Up pages Scenarios","","0","0","5","5","0"
"","Mega menu Scenarios","","1","0","3","0","0"
"","Cart page Scenarios","","0","1","7","5","0"
"","E2E - Checkout Scenarios -STM","","0","0","6","9","0"
"","Global Scenarios - Headers & Footer","","0","0","9","0","0"
"","E2E - Checkout Scenarios -SDD","","0","2","0","3","0"
"","Store Locator Scenarios","","0","2","9","2","0"
"","E2E - Checkout Mixcart Scenarios","","0","4","0","0","0"
"","Product Landing Page Scenarios","","0","1","7","0","0"
"","E2E - Checkout Scenarios -BOPIS","","0","3","0","2","0"
"","Product Description Page Scenarios","","0","0","2","0","0"
"","E2E - Classes, Events & Project Scenarios","","0","1","2","3","0"
"","Birthday Party Scenarios","","0","0","2","2","0"
"","E2E - Signup & My Account Scenarios","","0","0","2","5","0"
"","E2E - Marketplace Scenarios","","0","0","5","0","0"
"","E2E - EventHub portal Scenarios","","0","0","1","8","0"
"","Global Scenarios - Header & Footer for Makerplace","","0","0","6","0","0"
"","E2E - Marketplace seller Scenarios","","0","0","0","1","0"
"","Product Description Page Scenarios for makerplace","","0","0","2","0","0"
"","MAP - Admin Portal scenarios","","0","0","0","1","0"
"","Home Page Scenarios","","0","0","7","0","0"
"","MakerPlace - Mega menu Scenarios","","0","0","1","0","0"
"","Payment Review page Scenarios","","0","1","0","0","0"
