"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Home Page Scenarios","","0","1","6","0","0"
"","E2E - EventHub portal Scenarios","","0","1","8","0","0"
"","E2E - Signup & My Account Scenarios","","0","1","6","0","0"
"","MAP - Admin Portal scenarios","","0","0","1","0","0"
"","Sign In and Sign Up pages Scenarios","","0","1","9","0","0"
"","Cart page Scenarios","","0","1","12","0","0"
"","Mega menu Scenarios","","0","0","4","0","0"
"","E2E - Checkout Scenarios -STM","","4","3","8","0","0"
"","Global Scenarios - Headers & Footer","","0","0","9","0","0"
"","E2E - Checkout Scenarios -BOPIS","","0","0","5","0","0"
"","Store Locator Scenarios","","0","2","11","0","0"
"","E2E - Marketplace Scenarios","","4","0","1","0","0"
"","Product Landing Page Scenarios","","1","0","7","0","0"
"","E2E - Classes, Events & Project Scenarios","","0","0","6","0","0"
"","E2E - Checkout Scenarios -SDD","","0","2","3","0","0"
"","Global Scenarios - Header & Footer for Makerplace","","0","0","5","1","0"
"","Product Description Page Scenarios","","0","0","2","0","0"
"","Birthday Party Scenarios","","0","0","4","0","0"
"","E2E - Checkout Mixcart Scenarios","","0","4","0","0","0"
"","E2E - Marketplace seller Scenarios","","0","0","1","0","0"
"","Product Description Page Scenarios for makerplace","","0","0","2","0","0"
"","MakerPlace - Mega menu Scenarios","","0","0","1","0","0"
"","Payment Review page Scenarios","","0","0","1","0","0"
